DatGeracaoConjuntoDados;DatRalie;IdeNucleoCEG;CodCEG;SigUFPrincipal;DscOrigemCombustivel;SigTipoGeracao;NomEmpreendimento;MdaPotenciaOutorgadaKw;DscPropriRegimePariticipacao;DscTipoConexao;NomConexao;MdaTensaoConexao;NomEmpresaConexao;NumCnpjEmpresaConexao;DscViabilidade;DscSituacaoObra;DatPrevisaoInicioObra;DatContratoEPCOutorgado;DatRecursoFinanceiroOutorgado;DatCanteiroObraOutorgado;DatCanteiroObraRealizado;DatInicioObraOutorgado;DatInicioObraRealizado;DatConcretagemOutorgado;DatConcretagemRealizado;DatDesvioRioOutorgado;DatDesvioRioRealizado;DatMontagemOutorgado;DatMontagemRealizado;DatConclusaoTorresOutorgado;DatConclusaoTorresRealizado;DatEnchimentoOutorgado;DatEnchimentoRealizado;DatComissionamentoUGRealizado;DatSisTransmissaoOutorgado;DatSisTransmissaoRealizado;DatConclusaoSisTransOutorgado;DatConclusaoSisTransRealizado;DscJustificativaPrevisao;DscComercializacaoEnergia;DscSistema;DatConclusaoTransporteRealizado;DscSituacaoCronograma;DatRapeel;IdcComplexo;NomComplexo;DatEmissaoLP;DatValidadeLP;DscSituacaoLP;DatEmissaoLI;DatValidadeLI;DscSituacaoLI;DatSolicitacaoLO;DatPrevistaEmissaoLO;DatPrevMaxEmissaoLO;DatEmissaoLO;DatValidadeLO;DscSituacaoLO;NomSituacaoParAcesso;DatSolicitacaoParAcesso;DatEmissaoParAcesso;DscSitCCD;DatValidadeCCD;DatAssinaturaCCD;DscSitCCT;DatValidadeCCT;DatAssinaturaCCT;DscSituacaoCusd;DatValidadeCusd;DatAssinaturaCusd;DscSitCust;DatValidadeCust;DatAssinaturaCust;DscAtoOutorga;DscNumeroAto;NomOrgaoOutorgante;DscTipoOutorga;DatEmissaoAto
26/05/2025;22/04/2025;29153;UTE.AI.GO.029153-6.1;GO;Biomassa;UTE;Cooper-Rubi;40000; 100% para RUBIATABA INDUSTRIAL S.A. (PIE);Subestação;Rubiataba;34,5;EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S/A;1,54303E+12;Alta;Em andamento;;;;;01/08/2022;;15/08/2022;;;;;;30/08/2022;;;;;17/03/2025;;09/02/2023;;01/09/2022;Estágio das obras da usina;Fora ACR;Sistema Interligado Nacional;;Normal;04/04/2025;;;02/03/2021;26/02/2026;Válida;02/03/2021;26/02/2026;Válida;20/04/2023;;;20/04/2023;26/02/2026;Válida;Válido;14/07/2021;14/07/2021;Válido;18/05/2023;18/05/2022;Não se Aplica;;;Válido;18/05/2023;18/05/2022;Não se Aplica;;;Resolução;216;ANEEL;Autorização;05/05/2004
26/05/2025;22/04/2025;29226;PCH.PH.MG.029226-5.1;MG;Hídrica;PCH;Pontal;29000; 100% para DM CONSTRUTORA DE OBRAS LTDA (PIE);Subestação;Ponte Nova;69;COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG;1,71557E+13;Baixa;Não Iniciada;;;;;;;;;;;;;;;;;;;;;;;Nenhuma licença ambiental válida;Fora ACR;Sistema Interligado Nacional;;Atrasado;01/04/2025;;;;;Solicitada;;;Não Solicitada;;10/04/2028;10/04/2028;;;Não Solicitada;Não Solicitado;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Resolução;2;ANEEL;Autorização;10/01/2005
26/05/2025;22/04/2025;29257;PCH.PH.MT.029257-5.1;MT;Hídrica;PCH;Jubinha III;4080; 100% para NOVA JUBA ENERGETICA S/A (PIE);Subestação;UHE Juba I;138;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;3,46732E+12;Média;Não Iniciada;11/04/2026;;;;;;;;;;;;;;;;;;;;;;Sem Licença de Instalação - LI;Fora ACR;Sistema Interligado Nacional;;Atrasado;04/04/2025;;;18/10/2011;17/01/2014;Vencida;;;Não Solicitada;;14/06/2026;14/12/2026;;;Não Solicitada;Não Solicitado;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Resolução;185;ANEEL;Autorização;09/05/2005
26/05/2025;22/04/2025;29258;PCH.PH.MT.029258-3.1;MT;Hídrica;PCH;Juba IV;7480; 100% para NOVA JUBA ENERGETICA S/A (PIE);Subestação;UHE Juba I;138;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;3,46732E+12;Média;Não Iniciada;11/04/2028;;;;;;;;;;;;;;;;;;;;;;Sem Licença de Instalação - LI;Fora ACR;Sistema Interligado Nacional;;Atrasado;04/04/2025;;;11/12/2007;10/12/2010;Vencida;;;Não Solicitada;;13/06/2027;13/06/2027;;;Não Solicitada;Não Solicitado;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Resolução;186;ANEEL;Autorização;09/05/2005
26/05/2025;22/04/2025;29414;PCH.PH.PR.029414-4.1;PR;Hídrica;PCH;Foz da Anta;12000; 100% para Santa Helena Energia ME (PIE);Subestação;SE Siqueira Campos;34,5;COPEL DISTRIBUICAO S.A.;4,3689E+12;Média;Não Iniciada;12/06/2025;;;;;;;;;;;;;;;;;;;;;;Sem Licença de Instalação - LI;Fora ACR;Sistema Interligado Nacional;;Atrasado;03/04/2025;;;28/08/2017;28/08/2019;Vencida;;;Solicitada;;28/05/2025;10/03/2026;;;Não Solicitada;Não Solicitado;;;Não Assinado;;;Não Assinado;;;Não Assinado;;;Não Assinado;;;Resolução;509;ANEEL;Autorização;11/04/2006
26/05/2025;22/04/2025;29433;PCH.PH.RJ.029433-0.1;RJ;Hídrica;PCH;Jambo;14000; 100% para RIO MINAS ENERGIA SA (PIE);Subestação;Ilha dos Pombos;138;AMPLA ENERGIA E SERVICOS S.A.;3,30501E+13;Alta;Em andamento;;;;;15/06/2022;;20/06/2022;;20/07/2022;;15/12/2022;;27/01/2023;;;;;;;22/04/2024;;;Estágio das obras da usina;Fora ACR;Sistema Interligado Nacional;;Normal;05/04/2025;;;07/05/2004;07/05/2006;Válida;13/05/2021;13/05/2027;Válida;17/07/2024;30/04/2025;31/05/2025;;;Solicitada;Válido;31/05/2022;08/12/2022;Válido;20/03/2025;20/03/2023;Não se Aplica;;;Válido;20/03/2025;20/03/2023;Não se Aplica;;;Resolução;12.011;ANEEL;Autorização;07/06/2022
26/05/2025;22/04/2025;29505;PCH.PH.PR.029505-1.1;PR;Hídrica;PCH;Córrego Fundo;10000; 100% para CORREGO FUNDO SPE S/A (PIE);Subestação;Colorado;34,5;COPEL GERACAO E TRANSMISSAO S.A.;4,37028E+12;Alta;Em andamento;;01/10/2022;;01/07/2022;06/11/2023;30/07/2022;15/01/2024;01/05/2023;05/07/2024;01/02/2023;;01/01/2024;;;;01/05/2019;;;01/04/2023;;;;Estágio das obras da usina;ACR;Sistema Interligado Nacional;;Atrasado;07/04/2025;;;05/01/2015;05/01/2017;Vencida;19/04/2023;19/04/2026;Válida;;12/06/2025;01/08/2025;;;Não Solicitada;Válido;10/11/2023;27/12/2023;Válido;31/07/2026;11/03/2024;Não se Aplica;;;Válido;31/07/2026;11/03/2024;Não se Aplica;;;Resolução;6.009;ANEEL;Autorização;06/09/2016
26/05/2025;22/04/2025;29515;PCH.PH.RJ.029515-9.1;RJ;Hídrica;PCH;Fazenda Santana;9594; 100% para VALLE SUL ENERGIA S/A (PIE);Seccionamento;Getulândia - Rio Claro;25;LIGHT SERVICOS DE ELETRICIDADE S A;6,04444E+13;Baixa;Não Iniciada;;;;;;;;;;;;;;;;;;;;;;;Inviabilidade da implantação da usina;Fora ACR;Sistema Interligado Nacional;;Atrasado;03/04/2025;;;22/12/2006;22/12/2009;Vencida;28/07/2017;28/07/2020;Válida;;15/07/2025;15/08/2025;;;Não Solicitada;Não Solicitado;;;Não Assinado;;;Não Assinado;;;Não Assinado;;;Não Assinado;;;Resolução;765;ANEEL;Autorização;12/12/2006
26/05/2025;22/04/2025;29526;PCH.PH.RO.029526-4.1;RO;Hídrica;PCH;Urubu;21000; 50% para CONSTRUTORA ATERPA S/A. (PIE)/ 50% para CCM-CONSTRUTORA CENTRO MINAS LTDA (PIE);Subestação;PCH São Paulo;138;ENERGISA RONDONIA - DISTRIBUIDORA DE ENERGIA S.A;5,91465E+12;Baixa;Não Iniciada;;;;;;;;;;;;;;;;;;;;;;;Nenhuma licença ambiental válida;Fora ACR;Sistema Interligado Nacional;;Atrasado;03/04/2025;;;29/08/2005;29/12/2005;Vencida;16/03/2016;04/01/2021;Vencida;;03/06/2026;03/07/2026;;;Não Solicitada;Não Solicitado;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Resolução;784;ANEEL;Autorização;09/01/2007
26/05/2025;22/04/2025;29656;PCH.PH.GO.029656-2.1;GO;Hídrica;PCH;Santa Mônica;30000; 100% para CENTRAIS CONSTRUCOES PESADAS S/A (PIE);Subestação;Flores de Goiás;69;EDP TRANSMISSAO GOIAS SA;7,7793E+12;Baixa;Não Iniciada;;;;31/03/2010;;30/04/2010;;30/06/2011;;30/04/2011;;30/04/2012;;;;;;;;;;;Nenhuma licença ambiental válida;Fora ACR;Sistema Interligado Nacional;;Atrasado;03/02/2022;;;;;Solicitada;;;Não Solicitada;;01/01/2023;01/01/2024;;;Não Solicitada;Não Solicitado;;;Não Assinado;;;Não Assinado;;;Não Assinado;;;Não Assinado;;;Resolução;1.174;ANEEL;Autorização;18/12/2007
26/05/2025;22/04/2025;29716;PCH.PH.SC.029716-0.1;SC;Hídrica;PCH;Nova Trento;4680; 100% para GERADORA DE ENERGIA - PCH NOVA TRENTO S/A (PIE);Subestação;Brusque Rio Branco;23;;;Média;Não Iniciada;09/07/2025;;;;;20/02/2012;;01/05/2013;;01/10/2013;;01/01/2013;;;;01/10/2013;;;;;;;Acesso a rede não contratado - CUST/CUSD;Fora ACR;Sistema Interligado Nacional;;Atrasado;09/04/2024;;;03/05/2003;01/01/2022;Válida;25/07/2017;25/07/2021;Válida;;06/11/2024;04/02/2025;;;Não Solicitada;Não Solicitado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Resolução;1.423;ANEEL;Autorização;17/06/2008
26/05/2025;22/04/2025;29810;UTE.AI.SP.029810-7.1;SP;Biomassa;UTE;Santa Inês;12500; 100% para IRMÃOS TONIELLO LTDA (APE);Subestação;SE Sertãozinho 1;13,2;COMPANHIA PAULISTA DE FORCA E LUZ;3,30502E+13;Baixa;Não Iniciada;;;;;;;;;;;;;;;;;;;;;;;Revogação da outorga em avaliação;Fora ACR;Sistema Interligado Nacional;;Atrasado;06/10/2022;;;12/02/2019;12/02/2021;Vencida;26/04/2019;26/04/2022;Válida;;07/03/2023;03/04/2023;;;Não Solicitada;Não Solicitado;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Resolução;7.834;ANEEL;Autorização;21/05/2019
26/05/2025;22/04/2025;30032;UTE.AI.SP.030032-2.1;SP;Biomassa;UTE;Colombo Palestina;40000; 100% para COLOMBO BIOENERGIA S.A. UTE 3 (PIE);Subestação;Icém;69;COMPANHIA PAULISTA DE FORCA E LUZ;3,30502E+13;Média;Não Iniciada;22/01/2031;;;;;;;;;;;;;;;;;;;;;;Sem RAPEEL;Fora ACR;Sistema Interligado Nacional;;Normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Resolução;1.781;ANEEL;Autorização;27/01/2009
26/05/2025;22/04/2025;30101;PCH.PH.SC.030101-9.1;SC;Hídrica;PCH;Estação Indaial;27000; 100% para ESTACÃO INDAIAL ENERGÉTICA S.A. (PIE);Subestação;SE Blumenau Salto;69;;;Média;Não Iniciada;01/09/2025;;;;;;;;;;;;;;;;;;;;;;Sem Licença de Instalação - LI;Fora ACR;Sistema Interligado Nacional;;Atrasado;02/04/2025;;;20/12/2006;01/06/2021;Válida;;;Solicitada;;29/11/2027;15/12/2027;;;Não Solicitada;Não se Aplica;;;Válido;06/12/2024;07/12/2010;Não se Aplica;;;Válido;06/12/2024;07/12/2010;Não se Aplica;;;Resolução;1.937;ANEEL;Autorização;26/05/2009
26/05/2025;22/04/2025;30114;UTE.AI.MS.030114-0.1;MS;Biomassa;UTE;Cerona;150000; 100% para Cerona - Companhia de Energia Renovável (PIE);Subestação;Ivinhema;230;BRILHANTE TRANSMISSORA DE ENERGIA SA;1,05528E+13;Baixa;Não Iniciada;;;;;;31/12/2011;;;;;;31/01/2012;;;;;;;;;;;Revogação da outorga em avaliação;Fora ACR;Sistema Interligado Nacional;;Normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Resolução;1.976;ANEEL;Autorização;23/06/2009
26/05/2025;22/04/2025;30131;PCH.PH.SC.030131-0.1;SC;Hídrica;PCH;Arrozeira Meyer;24000; 100% para Arrozeira Meyer Energia S.A. (PIE);Seccionamento;Palmeiras - Timbo – C1;69;CELESC DISTRIBUICAO S.A;8,33678E+12;Média;Não Iniciada;09/07/2025;20/01/2024;02/01/2024;01/09/2024;;01/09/2024;;01/04/2025;;01/02/2025;;01/06/2026;;;;01/09/2026;;;01/02/2026;;;;Compromisso de venda de energia - PPA;ACR;Sistema Interligado Nacional;;Normal;04/04/2025;;;09/05/2022;09/05/2027;Válida;07/03/2025;07/03/2031;Válida;;01/09/2026;01/10/2026;;;Não Solicitada;Válido;08/09/2022;17/10/2024;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Resolução;7.366;ANEEL;Autorização;09/10/2018
26/05/2025;22/04/2025;30150;UTN.UR.RJ.030150-7.1;RJ;Nuclear;UTN;Almirante Álvaro Alberto - Unidade III (Antiga Angra III);1350000; 100% para ELETRONUCLEAR S.A. (SP);Subestação;Angra;500;FURNAS - CENTRAIS ELETRICAS S.A.;2,32742E+13;Baixa;Paralisada;;;;25/06/2007;01/06/2009;;12/12/2009;;;;;;12/01/2015;;;;;;;;;;Paralisação de obras;ACR;Sistema Interligado Nacional;;Atrasado;04/04/2025;;;24/07/2008;30/11/2009;Vencida;25/08/2022;25/08/2028;Válida;;01/10/2028;01/10/2028;;;Não Solicitada;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Decreto;75.870;Presidente da República;Autorização;13/06/1975
26/05/2025;22/04/2025;30173;UTE.AI.MS.030173-6.1;MS;Biomassa;UTE;Santa Helena;16000; 100% para ENERGETICA SANTA HELENA S/A (PIE);Subestação;Nova Andradina;34,5;ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.;1,54138E+13;Baixa;Paralisada;;;;;02/12/2022;;02/12/2022;;;;;;15/01/2024;;;;;18/03/2024;;05/09/2022;;;Paralisação de obras;Fora ACR;Sistema Interligado Nacional;;Normal;05/04/2025;;;03/05/2021;03/05/2023;Vencida;24/02/2022;24/02/2025;Válida;;28/11/2025;22/12/2025;;;Não Solicitada;Válido;23/09/2022;18/11/2022;Não Assinado;;;Não se Aplica;;;Válido;15/10/2024;16/10/2023;Não se Aplica;;;Resolução;2.887;ANEEL;Autorização;10/05/2011
26/05/2025;22/04/2025;30239;PCH.PH.MT.030239-2.1;MT;Hídrica;PCH;Santa Luzia (Antiga Presente de Deus);13403; 100% para Hidroelétrica Santa Luzia Ltda. (PIE);Subestação;Sapezal;138;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;3,46732E+12;Baixa;Não Iniciada;;;;;;;;;;;;;;;;;;;;;;;Inviabilidade da implantação da usina;Fora ACR;Sistema Interligado Nacional;;Atrasado;04/04/2025;;;25/03/2022;17/01/2027;Válida;06/09/2022;05/09/2027;Válida;;30/09/2026;30/11/2026;;;Não Solicitada;Válido;31/05/2018;01/07/2018;Válido;01/11/2040;22/10/2018;Não se Aplica;;;Válido;01/11/2040;22/10/2018;Não se Aplica;;;Resolução;2.250;ANEEL;Autorização;19/01/2010
26/05/2025;22/04/2025;30255;PCH.PH.MT.030255-4.1;MT;Hídrica;PCH;Santo Antônio (Antiga Comodoro);10307; 100% para Hidroelétrica Santa Luzia Ltda. (PIE);Subestação;Sapezal;138;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;3,46732E+12;Baixa;Não Iniciada;;;;;;;;;;;;;;;;;;;;;;;Sem Licença de Instalação - LI;Fora ACR;Sistema Interligado Nacional;;Atrasado;04/04/2025;;;28/03/2022;17/01/2027;Válida;;20/02/2023;Solicitada;;31/12/2025;30/01/2026;;;Não Solicitada;Válido;11/06/2018;11/07/2018;Válido;01/11/2040;31/10/2018;Não se Aplica;;;Válido;01/11/2040;31/10/2018;Não se Aplica;;;Resolução;2.275;ANEEL;Autorização;08/02/2010
26/05/2025;22/04/2025;30267;UTE.AI.SP.030267-8.1;SP;Biomassa;UTE;Colombo Santa Albertina;50000; 100% para COLOMBO BIOENERGIA S.A. UTE 4 (PIE);Subestação;Jales;138;ISA ENERGIA BRASIL S.A.;2,99861E+12;Média;Não Iniciada;15/09/2028;;;;;;;;;;;;;;;;;;;;;;Sem RAPEEL;Fora ACR;Sistema Interligado Nacional;;Normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Resolução;2.374;ANEEL;Autorização;27/04/2010
26/05/2025;22/04/2025;30306;EOL.CV.BA.030306-2.1;BA;Eólica;EOL;Seabra;35390; 100% para SEABRA ENERGETICA S/A (PIE);Subestação;Brotas de Macaúbas;230;COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO;3,35414E+13;Alta;Em andamento;;;;;16/04/2024;;16/05/2024;;16/06/2024;;;;16/07/2024;;16/08/2024;;;16/09/2024;;16/06/2011;;16/06/2012;Estágio das obras da usina;Fora ACR;Sistema Interligado Nacional;;Normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Portaria;671;MME;Autorização;29/07/2010
26/05/2025;22/04/2025;30386;PCH.PH.SC.030386-0.1;SC;Hídrica;PCH;Mangueira de Pedra;12060; 100% para MANGUEIRA DE PEDRA ENERGIA S.A. (PIE);Subestação;Clevelândia;34,5;COPEL DISTRIBUICAO S.A.;4,3689E+12;Baixa;Não Iniciada;;;;;;;;;;;;;;;;;;;;;;;Nenhuma licença ambiental válida;Fora ACR;Sistema Interligado Nacional;;Atrasado;02/04/2025;;;09/03/2007;09/03/2010;Vencida;28/04/2010;28/04/2013;Vencida;;01/01/2026;01/02/2026;;;Não Solicitada;Não Solicitado;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Resolução;2.580;ANEEL;Autorização;19/10/2010
26/05/2025;22/04/2025;30410;PCH.PH.SC.030410-7.1;SC;Hídrica;PCH;Tamanduá;16000; 100% para TAMANDUA ENERGIA SA (PIE);Seccionamento;Caçador Castelhano;138;CELESC DISTRIBUICAO S.A;8,33678E+12;Baixa;Não Iniciada;;;;02/09/2014;;03/10/2014;;02/06/2015;;01/10/2014;;03/06/2016;;;;11/02/2016;;;07/01/2016;;;;Nenhuma licença ambiental válida;Fora ACR;Sistema Interligado Nacional;;Atrasado;01/04/2025;;;21/06/2007;01/02/2014;Vencida;;;Solicitada;;15/10/2025;15/10/2025;;;Não Solicitada;Válido;01/02/2012;19/08/2011;Válido;27/06/2042;27/06/2012;Não se Aplica;;;Válido;27/06/2042;27/06/2012;Não se Aplica;;;Resolução;2.621;ANEEL;Autorização;23/11/2010
26/05/2025;22/04/2025;30414;UTE.AI.AM.030414-0.1;AM;Biomassa;UTE;BBF Tefé;9800; 100% para BRASIL BIO FUELS S.A. (PIE);Seccionamento;Distribuidora Local - Sistemas Isolados;13,8;AMAZONAS ENERGIA S.A;2,34147E+12;Baixa;Não Iniciada;;;;;;;;;;;;;;;;;;;;;;;Inviabilidade da implantação da usina;Fora ACR;Sistemas Isolados;;Atrasado;05/04/2025;;;11/03/2010;11/03/2011;Vencida;;04/09/2019;Solicitada renovação;;17/05/2027;01/06/2027;;;Não Solicitada;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Resolução;2.629;ANEEL;Autorização;30/11/2010
26/05/2025;22/04/2025;30541;UTE.RU.RS.030541-3.1;RS;Biomassa;UTE;Biotérmica Recreio;12744; 100% para BIOTERMICA ENERGIA S.A. (PIE);Subestação;Areal;23,1;COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE-D;8,46712E+12;Média;Não Iniciada;02/02/2026;;;;;;;;;;;;;;;;;;;;;;Acesso a rede não contratado - CUST/CUSD;Fora ACR;Sistema Interligado Nacional;;Atrasado;07/03/2025;;;12/11/2013;12/11/2015;Válida;13/01/2014;13/01/2016;Válida;28/07/2023;;;06/12/2019;06/12/2024;Válida;Válido;01/06/2021;25/06/2021;Válido;12/03/2021;12/03/2015;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Resolução;2.897;ANEEL;Autorização;17/05/2011
26/05/2025;22/04/2025;30612;UTE.AI.AM.030612-6.1;AM;Biomassa;UTE;BBF Benjamin Constant;9800; 100% para BRASIL BIO FUELS S.A. (PIE);Subestação;Distribuidora Local - Sistemas Isolados;13,8;AMAZONAS ENERGIA S.A;2,34147E+12;Baixa;Não Iniciada;;;;;;;;;;;;;;;;;;;;;;;Inviabilidade da implantação da usina;Fora ACR;Sistemas Isolados;;Atrasado;05/04/2025;;;11/03/2010;11/03/2011;Vencida;;25/01/2020;Solicitada renovação;;17/05/2027;01/06/2027;;;Não Solicitada;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Resolução;3.022;ANEEL;Autorização;26/07/2011
26/05/2025;22/04/2025;30636;PCH.PH.RS.030636-3.1;RS;Hídrica;PCH;Linha Aparecida;25406,91; 100% para COOGERVA LINHA APARECIDA ENERGIA S/A (PIE);Subestação;SE Planalto;138;RIO GRANDE ENERGIA SA;2,01644E+12;Baixa;Não Iniciada;;;;;;;;;;;;;;;;;;;;;;;Demandas judiciais;Fora do ACR;Sistema Interligado Nacional;;Atrasado;02/04/2025;;;04/10/2006;04/10/2008;Vencida;;01/04/2013;Solicitada renovação;;01/01/9999;01/01/9999;;;Não Solicitada;Não Solicitado;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Resolução;3.071;ANEEL;Autorização;23/08/2011
26/05/2025;22/04/2025;30637;PCH.PH.RS.030637-1.1;RS;Hídrica;PCH;Linha Jacinto;17801,04; 100% para COOGERVA LINHA JACINTO ENERGIA S/A (PIE);Subestação;Planalto;138;RIO GRANDE ENERGIA SA;2,01644E+12;Baixa;Não Iniciada;;;;15/02/2015;;01/03/2015;;01/12/2015;;01/03/2015;;01/08/2016;;;;20/10/2016;;;05/06/2016;;;;Demandas judiciais;Fora do ACR;Sistema Interligado Nacional;;Atrasado;02/04/2025;;;05/10/2006;05/10/2008;Vencida;;01/04/2013;Solicitada renovação;;01/01/9999;01/01/9999;;;Não Solicitada;Não Solicitado;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Resolução;3.072;ANEEL;Autorização;23/08/2011
26/05/2025;22/04/2025;30982;PCH.PH.SC.030982-6.1;SC;Hídrica;PCH;Santo Cristo ;19499; 100% para CRERAL - SANTO CRISTO GERAÇÃO DE ENERGIA S.A (PIE);Subestação;SE Vacaria;138;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;2,01644E+12;Alta;Em andamento;;;;10/05/2023;01/11/2023;10/06/2023;05/12/2023;14/12/2024;03/03/2025;30/08/2023;20/11/2023;03/03/2025;;;;11/08/2025;;;01/04/2024;;;;Estágio das obras da usina;Fora do ACR;Sistema Interligado Nacional;;Normal;04/04/2025;;;21/12/2005;21/12/2008;Vencida;25/01/2016;01/03/2026;Válida;;30/11/2025;28/02/2026;;;Não Solicitada;Válido;10/12/2012;09/04/2013;Válido;18/04/2058;22/11/2022;Não se Aplica;;;Válido;18/04/2058;18/11/2022;Não se Aplica;;;Resolução;14.325;ANEEL;Autorização;18/04/2023
26/05/2025;22/04/2025;31016;PCH.PH.RS.031016-6.1;RS;Hídrica;PCH;Bela Vista;5500; 100% para BORTOLON HIDRELETRICA LTDA (PIE);Subestação;Vacaria;23;RIO GRANDE ENERGIA SA;2,01644E+12;Média;Não Iniciada;01/01/2027;;;;02/11/2020;;;;;;;;;;;;;;;;;;Sem Licença de Instalação - LI;Fora ACR;Sistema Interligado Nacional;;Atrasado;04/04/2025;;;;01/01/2016;Solicitada renovação;;;Não Solicitada;;01/01/2028;01/02/2028;;;Não Solicitada;Não Solicitado;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Resolução;3.848;ANEEL;Autorização;14/01/2013
26/05/2025;22/04/2025;31039;PCH.PH.MG.031039-5.1;MG;Hídrica;PCH;Oswaldo Vicintin;29250; 100% para OSWALDO VICINTIN PCH LTDA (PIE);Subestação;Monjolos;138;CEMIG DISTRIBUICAO S.A;6,98118E+12;Baixa;Não Iniciada;;;;;;;;;;;;;;;;;;;;;;;Sem Licença de Instalação - LI;Fora ACR;Sistema Interligado Nacional;;Atrasado;01/04/2025;;;02/10/2009;31/08/2013;Vencida;;;Solicitada;;30/04/2025;30/04/2025;;;Não Solicitada;Solicitado;18/01/2022;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Não Assinado;;;Resolução;3.923;ANEEL;Autorização;19/02/2013
26/05/2025;22/04/2025;31070;UTE.RU.SP.031070-0.1;SP;Biomassa;UTE;Barueri;20000; 100% para BARUERI ENERGIA RENOVAVEL S.A. (PIE);Seccionamento;JANDIRA - MONTE BELO 1-2 - C1;88;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;6,16952E+13;Alta;Em andamento;;10/02/2022;;;25/03/2024;17/04/2024;25/04/2024;;;;;20/01/2023;;;;;;;18/11/2022;;12/02/2025;;Estágio das obras da usina;ACR;Sistema Interligado Nacional;;Atrasado;05/04/2025;;;19/12/2012;19/12/2021;Válida;10/12/2019;03/12/2021;Válida;;23/04/2026;04/05/2026;;;Não Solicitada;Válido;25/08/2023;05/10/2023;Não se Aplica;;;Não se Aplica;;;Válido;26/12/2026;01/03/2024;Não se Aplica;;;Resolução;4.001;ANEEL;Autorização;19/03/2013
26/05/2025;22/04/2025;31126;PCH.PH.SP.031126-0.1;SP;Hídrica;PCH;São Francisco;6790; 100% para SF PRODUCAO DE ENERGIA ELETRICA LTDA (PIE);Subestação;PCH Ponte Branca;34,5;COMPANHIA LUZ E FORCA SANTA CRUZ;6,11163E+13;Média;Não Iniciada;03/07/2026;;;;;;;;;;;;;;;;;;;;;;Sem Licença de Instalação - LI;Fora ACR;Sistema Interligado Nacional;;Atrasado;04/04/2025;;;24/08/2010;24/08/2015;Vencida;;;Solicitada;;27/11/2026;13/12/2026;;;Não Solicitada;Vencido;31/03/2016;16/11/2016;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Resolução;4.139;ANEEL;Autorização;28/05/2013
